
-24.88,23.57,446.43
-24.49,23.55,452.49
-23.9,22.96,442.48
-23.49,23.82,462.96
-23.14,24.53,473.93
-22.79,24.11,478.47
-22.45,24.35,483.09
-21.99,24.71,490.2
-21.42,24.34,490.2
-21.08,24.55,497.51
-20.46,24.14,507.61
-19.9,24.34,510.2
-19.87,24.5,523.56
-19.25,23.91,520.83
-19.2,24.47,534.76
-18.47,24.65,540.54
-18.5,24.67,546.45
-17.9,24.61,552.49
-17.6,24.67,555.56
-17.48,24.92,564.97
-17.2,24.8,578.03
-16.91,24.94,591.72
-16.61,25,606.06
-16.45,25.21,613.5
-15.73,24.34,598.8
-15.76,25.06,621.12
-15.41,25,628.93
-15.05,25.35,645.16
-14.31,24.87,645.16
-13.93,24.9,653.59
-13.19,24.45,649.35
-13.34,24.54,662.25
-12.4,23.94,662.25
-12.15,23.82,675.68
-11.88,24.17,694.44
-11.59,24.11,714.29
-11.55,24.02,724.64
-11.08,23.6,735.29
-10.45,23.6,735.29
-10.1,23.04,724.64
-10.14,23.68,751.88
-9.54,22.72,746.27
-9.25,22.95,757.58
-8.99,22.9,763.36
-8.01,21.99,751.88
-8.04,22.92,800
-7.58,22.92,800
-6.68,22.56,800
-6.39,21.9,806.45
-6.09,21.71,813.01
-5.81,22.31,840.34
-6.12,21.5,833.33
-5.34,21.72,862.07
0.26,11.04,613.5
-5.1,21.9,884.96
-4.18,21.76,900.9
-3.73,20.13,854.7
-3.36,20.84,884.96
-2.91,20.81,900.9
-2.66,20,900.9
-2.53,21.29,952.38
-1.88,20.48,961.54
-1.64,20.88,980.39
29.13,53.33,3703.7
-0.99,20.45,1010.1
-1.12,19.8,1000
-0.7,20.15,1010.1
0.55,18.82,980.39
0.58,19.84,1041.67
0.58,20.31,1041.67
1.16,19.06,1041.67
1.45,19.38,1041.67
1.55,18.33,1010.1
3.07,18.79,1052.63
2.32,18.59,1041.67
3.92,18.91,1086.96
4.14,18.35,1063.83
4.31,19.17,1111.11
4.4,19.26,1136.36
5.13,19.53,1162.79
5.65,17.9,1136.36
5.94,16.98,1098.9
6.1,18.14,1162.79
7.23,17.39,1136.36
6.99,17.53,1123.6
7.87,17.5,1190.48
8.02,17.27,1162.79
8.78,17.17,1204.82
9.05,17.2,1219.51
9.51,16.61,1190.48
9.51,16.07,1190.48
10.58,17.09,1265.82
10.58,16.9,1265.82
11.89,16.75,1298.7
11.27,16.52,1265.82
11.58,16.15,1282.05
12.28,15.19,1282.05
13.27,15.6,1333.33
12.98,15.38,1282.05
13.64,16.2,1333.33
14.35,16.23,1369.86
13.19,47.76,2631.58
15.48,15.63,1408.45
14.73,14.6,1333.33
15.09,14.21,1315.79
16.34,19.15,1538.46
16.23,15,1388.89
17.45,15,1449.28
16.98,14.17,1388.89
17.84,15,1449.28
18.19,14.14,1428.57
19.13,14.33,1492.54
18.58,13.71,1428.57
